S_ID	T_ID	TOKENcorr	TOKENorig	LEMMA	POS
s5	w35	meinen	meinen	meine	PPOSAT
s5	w36	Posten	Poſten	Posten	NN
s5	w37	.	.	.	$.

# text = Sie will der Welt herauf neu fuͤhren einen Tag ; Und Schoͤnes bring' ich euch , ſo viel ich noch vermag .
s6	w38	Sie	Sie	sie	PPER
s6	w39	will	will	wollen	VMFIN
s6	w3a	der	der	d	ART
s6	w3b	Welt	Welt	Welt	NN
s6	w3c	herauf	herauf	herauf	ADV
s6	w3d	neu	neu	neu	ADJD
s6	w3e	führen	fuͤhren	führen	VVFIN
s6	w3f	einen	einen	eine	ART
s6	w40	Tag	Tag	Tag	NN
s6	w41	;	;	;	$.
s6	w42	Und	Und	und	KON
s6	w43	Schönes	Schoͤnes	schön	ADJA
s6	w44	bringe	bring'	bringen	VVFIN
s6	w45	ich	ich	ich	PPER
s6	w46	euch	euch	ihr	PPER
s6	w47	,	,	,	$,
s6	w48	so	ſo	so	ADV
s6	w49	viel	viel	viel	PIS
s6	w4a	ich	ich	ich	PPER
s6	w4b	noch	noch	noch	ADV
s6	w4c	vermag	vermag	vermögen	VVFIN
s6	w4d	.	.	.	$.

# text = O bring es ſchnell , mein Geiſt ! der Tag iſt kurz gemeſſen , Herbſt iſt nun , doch ſo klar , daß ich mich freue deſſen .
s7	w4e	O	O	O	NE
s7	w4f	bringe	bring	bringen	VVFIN
s7	w50	es	es	es	PPER
s7	w51	schnell	ſchnell	schnell	ADJD
s7	w52	,	,	,	$,
s7	w53	mein	mein	mein	PPOSAT
s7	w54	Geist	Geiſt	Geist	NN
s7	w55	!	!	!	$.
s7	w56	der	der	d	ART
s7	w57	Tag	Tag	Tag	NN
s7	w58	ist	iſt	sein	VAFIN
s7	w59	kurz	kurz	kurz	ADJD
s7	w5a	gemessen	gemeſſen	messen	VVPP
s7	w5b	,	,	,	$,
s7	w5c	Herbst	Herbſt	Herbst	NN
s7	w5d	ist	iſt	sein	VAFIN
s7	w5e	nun	nun	nun	ADV
s7	w5f	,	,	,	$,
s7	w60	doch	doch	doch	ADV
s7	w61	so	ſo	so	ADV
s7	w62	klar	klar	klar	ADJD
s7	w63	,	,	,	$,
s7	w64	daß	daß	daß	KOUS
s7	w65	ich	ich	ich	PPER
s7	w66	mich	mich	ich	PPER
s7	w67	freue	freue	freuen	VVFIN
s7	w68	dessen	deſſen	die	PDS
s7	w69	.	.	.	$.

# text = Kahl iſt der Roſenſtrauch , die Roſen ſind vergeſſen , Doch ſanft im Fruͤhglanz wankt der Wipfel der Zipreſſen .
s8	w6a	Kahl	Kahl	Kahl	NE
s8	w6b	ist	iſt	sein	VAFIN
s8	w6c	der	der	d	ART
s8	w6d	Rosenstrauch	Roſenſtrauch	Rosenstrauch	NN
s8	w6e	,	,	,	$,
s8	w6f	die	die	d	ART
s8	w70	Rosen	Roſen	Rose	NN
s8	w71	sind	ſind	sein	VAFIN
s8	w72	vergessen	vergeſſen	vergessen	VVPP
s8	w73	,	,	,	$,
s8	w74	Doch	Doch	doch	KON
s8	w75	sanft	ſanft	sanft	ADJD
s8	w76	im	im	im	APPRART
s8	w77	Frühglanz	Fruͤhglanz	Frühglanz	NN
s8	w78	wankt	wankt	wanken	VVFIN
s8	w79	der	der	d	ART
s8	w7a	Wipfel	Wipfel	Wipfel	NN
s8	w7b	der	der	d	ART
s8	w7c	Zipressen	Zipreſſen	Zipressen	NN
s8	w7d	.	.	.	$.

# text = 2.
s872	w9afc	2.	2.	2.	ADV

# text = Wenn nur fuͤr fremde Luſt dein Wirken iſt beſtrebt , Kein Frohgefuͤhl die Bruſt dabei dir ſelbſt erhebt ,
s9	w7e	Wenn	Wenn	wenn	KOUS
s9	w7f	nur	nur	nur	ADV
s9	w80	für	fuͤr	für	APPR
s9	w81	fremde	fremde	fremd	ADJA
s9	w82	Lust	Luſt	Lust	NN
s9	w83	dein	dein	dein	PPOSAT
s9	w84	Wirken	Wirken	Wirken	NN
s9	w85	ist	iſt	sein	VAFIN
s9	w86	bestrebt	beſtrebt	bestreben	VVPP
s9	w87	,	,	,	$,
s9	w88	Kein	Kein	keine	PIAT
s9	w89	Frohgefühl	Frohgefuͤhl	Frohgefühl	NN
s9	w8a	die	die	d	ART
s9	w8b	Brust	Bruſt	Brust	NN
s9	w8c	dabei	dabei	dabei	PAV
s9	w8d	dir	dir	du	PPER
s9	w8e	selbst	ſelbſt	selbst	ADV
s9	w8f	erhebt	erhebt	erheben	VVFIN
s9	w90	,	,	,	$,

# text = Auch du nicht deine Luſt am Thun der andern haſt , So iſt dir , was du thuſt und ſie thun , eine Laſt .
sa	w91	Auch	Auch	auch	ADV
sa	w92	du	du	du	PPER
sa	w93	nicht	nicht	nicht	PTKNEG
sa	w94	deine	deine	deine	PPOSAT
sa	w95	Lust	Luſt	Lust	NN
sa	w96	am	am	am	APPRART
sa	w97	Tun	Thun	Tun	NN
sa	w98	der	der	d	ART
sa	w99	anderen	andern	ander	ADJA
sa	w9a	hast	haſt	haben	VAFIN
sa	w9b	,	,	,	$,
sa	w9c	So	So	so	ADV
sa	w9d	ist	iſt	sein	VAFIN
sa	w9e	dir	dir	du	PPER
sa	w9f	,	,	,	$,
sa	wa0	was	was	was	PWS
sa	wa1	du	du	du	PPER
sa	wa2	tust	thuſt	tun	VVFIN
sa	wa3	und	und	und	KON
sa	wa4	sie	ſie	sie	PPER
sa	wa5	tun	thun	tun	VVINF
sa	wa6	,	,	,	$,
sa	wa7	eine	eine	eine	ART
sa	wa8	Last	Laſt	Last	NN
sa	wa9	.	.	.	$.

# text = Komm , und mit Heiterkeit den Drang des Lebens wuͤrze !
sb	waa	Komme	Komm	kommen	VVFIN
sb	wab	,	,	,	$,
sb	wac	und	und	und	KON
sb	wad	mit	mit	mit	APPR
sb	wae	Heiterkeit	Heiterkeit	Heiterkeit	NN
sb	waf	den	den	d	ART
sb	wb0	Drang	Drang	Drang	NN
sb	wb1	des	des	d	ART
sb	wb2	Lebens	Lebens	Leben	NN
sb	wb3	würze	wuͤrze	würzen	VVFIN
sb	wb4	!	!	!	$.

# text = Nicht uͤber Hals und Kopf dumpf in den Wirbel ſtuͤrze !
sc	wb5	Nicht	Nicht	nicht	PTKNEG
sc	wb6	über	uͤber	über	APPR
sc	wb7	Hals	Hals	Hals	NN
sc	wb8	und	und	und	KON
sc	wb9	Kopf	Kopf	Kopf	NN
sc	wba	dumpf	dumpf	dumpf	ADJD
sc	wbb	in	in	in	APPR
sc	wbc	den	den	d	ART
sc	wbd	Wirbel	Wirbel	Wirbel	NN
sc	wbe	stürze	ſtuͤrze	stürzen	VVFIN
sc	wbf	!	!	!	$.

# text = Es ſteht bei dir , daß aus der Welt Muͤhſeligkeit In jedem Augenblick dir aufbluͤh' Seligkeit .
sd	wc0	Es	Es	es	PPER
sd	wc1	steht	ſteht	stehen	VVFIN
sd	wc2	bei	bei	bei	APPR
sd	wc3	dir	dir	du	PPER
sd	wc4	,	,	,	$,
sd	wc5	daß	daß	daß	KOUS
sd	wc6	aus	aus	aus	APPR
sd	wc7	der	der	d	ART
sd	wc8	Welt	Welt	Welt	NN
sd	wc9	Mühseligkeit	Muͤhſeligkeit	Mühseligkeit	NN
sd	wca	In	In	in	APPR
sd	wcb	jedem	jedem	jede	PIAT
sd	wcc	Augenblick	Augenblick	Augenblick	NN
sd	wcd	dir	dir	du	PPER
sd	wce	aufblühe	aufbluͤh'	aufblühen	VVFIN
sd	wcf	Seligkeit	Seligkeit	Seligkeit	NN
sd	wd0	.	.	.	$.

# text = 3.
s873	w9afd	3.	3.	3.	ADJA

# text = Am Ende , wann du nun dich an der Welt genung Gefreut haſt , freuet dich noch die Erinnerung ;
se	wd1	Am	Am	am	APPRART
se	wd2	Ende	Ende	Ende	NN
se	wd3	,	,	,	$,
se	wd4	wann	wann	wann	PWAV
se	wd5	du	du	du	PPER
se	wd6	nun	nun	nun	ADV
se	wd7	dich	dich	dich	PRF
se	wd8	an	an	an	APPR
se	wd9	der	der	d	ART
se	wda	Welt	Welt	Welt	NN
se	wdb	genug	genung	genug	ADV
se	wdc	Gefreut	Gefreut	freuen	VVPP
se	wdd	hast	haſt	haben	VAFIN
se	wde	,	,	,	$,
se	wdf	freuet	freuet	freuen	VVFIN
se	we0	dich	dich	du	PPER
se	we1	noch	noch	noch	ADV
se	we2	die	die	d	ART
se	we3	Erinnerung	Erinnerung	Erinnerung	NN
se	we4	;	;	;	$.

# text = Noch die Erinnerung , wie du dich ſonſt gefreut , Wann das die Welt dir bot , was ſie noch immer beut ;
sf	we5	Noch	Noch	noch	ADV
sf	we6	die	die	d	ART
sf	we7	Erinnerung	Erinnerung	Erinnerung	NN
sf	we8	,	,	,	$,
sf	we9	wie	wie	wie	PWAV
sf	wea	du	du	du	PPER
sf	web	dich	dich	du	PPER
sf	wec	sonst	ſonſt	sonst	ADV
sf	wed	gefreut	gefreut	freuen	VVPP
sf	wee	,	,	,	$,
sf	wef	Wann	Wann	wann	PWAV
sf	wf0	das	das	die	PDS
sf	wf1	die	die	d	ART
sf	wf2	Welt	Welt	Welt	NN
sf	wf3	dir	dir	du	PPER
sf	wf4	bot	bot	bieten	VVFIN
sf	wf5	,	,	,	$,
sf	wf6	was	was	was	PWS
sf	wf7	sie	ſie	sie	PPER
sf	wf8	noch	noch	noch	ADV
sf	wf9	immer	immer	immer	ADV
sf	wfa	beute	beut	beuten	VVFIN
sf	wfb	;	;	;	$.

# text = Wie du dich ſonſt gefreut , wann ſich der Kranz erneut Des Fruͤhlings , wie ſich heut ſein voller Glanz erneut .
s10	wfc	Wie	Wie	wie	PWAV
s10	wfd	du	du	du	PPER
s10	wfe	dich	dich	du	PPER
s10	wff	sonst	ſonſt	sonst	ADV
s10	w100	gefreut	gefreut	freuen	VVPP
s10	w101	,	,	,	$,
s10	w102	wann	wann	wann	PWAV
s10	w103	sich	ſich	sich	PRF
s10	w104	der	der	d	ART
s10	w105	Kranz	Kranz	Kranz	NN
s10	w106	erneut	erneut	erneut	ADJD
s10	w107	Des	Des	d	ART
s10	w108	Frühlings	Fruͤhlings	Frühling	NN
s10	w109	,	,	,	$,
s10	w10a	wie	wie	wie	PWAV
s10	w10b	sich	ſich	sich	PRF
s10	w10c	heute	heut	heute	ADV
s10	w10d	sein	ſein	sein	PPOSAT
s10	w10e	voller	voller	voll	ADJA
s10	w10f	Glanz	Glanz	Glanz	NN
s10	w110	erneut	erneut	erneut	ADJD
s10	w111	.	.	.	$.

# text = Freut dich nicht mehr der Kranz ?
s11	w112	Freut	Freut	freuen	VVFIN
s11	w113	dich	dich	du	PPER
s11	w114	nicht	nicht	nicht	PTKNEG
s11	w115	mehr	mehr	mehr	ADV
s11	w116	der	der	d	ART
s11	w117	Kranz	Kranz	Kranz	NN
s11	w118	?	?	?	$.

# text = Noch immer !
s12	w119	Noch	Noch	noch	ADV
s12	w11a	immer	immer	immer	ADV
s12	w11b	!	!	!	$.

# text = doch nur ganz , Wenn du dazu denkſt , wie dich ſonſt gefreut der Glanz .
s13	w11c	doch	doch	doch	ADV
s13	w11d	nur	nur	nur	ADV
s13	w11e	ganz	ganz	ganz	ADV
s13	w11f	,	,	,	$,
s13	w120	Wenn	Wenn	wenn	KOUS
s13	w121	du	du	du	PPER
s13	w122	dazu	dazu	dazu	PAV
s13	w123	denkst	denkſt	denken	VVFIN
s13	w124	,	,	,	$,
s13	w125	wie	wie	wie	PWAV
s13	w126	dich	dich	du	PPER
s13	w127	sonst	ſonſt	sonst	ADV
s13	w128	gefreut	gefreut	freuen	VVPP
s13	w129	der	der	d	ART
s13	w12a	Glanz	Glanz	Glanz	NN
s13	w12b	.	.	.	$.

# text = 4.
s874	w9afe	4.	4.	4.	ADV

# text = Ein nachgeſprochenes Gebet kann etwa nuͤtzen , Als Zauberſegen , dich mit Wunderkraft beſchuͤtzen .
s14	w12c	Ein	Ein	eine	ART
s14	w12d	nachgesprochenes	nachgeſprochenes	nachgesprechen	ADJA
s14	w12e	Gebet	Gebet	Gebet	NN
s14	w12f	kann	kann	können	VMFIN
s14	w130	etwa	etwa	etwa	ADV
s14	w131	nützen	nuͤtzen	nützen	VVINF
s14	w132	,	,	,	$,
s14	w133	Als	Als	als	KOUS
s14	w134	Zaubersegen	Zauberſegen	Zaubersegen	NN
s14	w135	,	,	,	$,
s14	w136	dich	dich	dich	PRF
s14	w137	mit	mit	mit	APPR
s14	w138	Wunderkraft	Wunderkraft	Wunderkraft	NN
s14	w139	beschützen	beſchuͤtzen	beschützen	VVINF
s14	w13a	.	.	.	$.

# text = Ein nachgebetet Wort der Lehre nuͤtzet nicht , Wenn in dir ſelbſt den vorgeſprochnen nichts entſpricht .
s15	w13b	Ein	Ein	eine	ART
s15	w13c	nachgebetet	nachgebetet	nachbeten	VVPP
s15	w13d	Wort	Wort	Wort	NN
s15	w13e	der	der	d	ART
s15	w13f	Lehre	Lehre	Lehre	NN
s15	w140	nützet	nuͤtzet	nützen	VVFIN
s15	w141	nicht	nicht	nicht	PTKNEG
s15	w142	,	,	,	$,
s15	w143	Wenn	Wenn	wenn	KOUS
s15	w144	in	in	in	APPR
s15	w145	dir	dir	du	PPER
s15	w146	selbst	ſelbſt	selbst	ADV
s15	w147	den	den	d	ART
s15	w148	vorgesprochenen	vorgeſprochnen	vorgesprechen	ADJA
s15	w149	nichts	nichts	nichts	PIS
s15	w14a	entspricht	entſpricht	entsprechen	VVFIN
s15	w14b	.	.	.	$.

# text = Der eingepflanzte Stab mag wohl die Pflanze tragen , Die Pflanze doch muß , um zu wurzeln , Wurzel ſchlagen .
s16	w14c	Der	Der	d	ART
s16	w14d	eingepflanzte	eingepflanzte	eingepflanzt	ADJA
s16	w14e	Stab	Stab	Stab	NN
s16	w14f	mag	mag	mögen	VMFIN
s16	w150	wohl	wohl	wohl	ADV
s16	w151	die	die	d	ART
s16	w152	Pflanze	Pflanze	Pflanze	NN
s16	w153	tragen	tragen	tragen	VVINF
s16	w154	,	,	,	$,
s16	w155	Die	Die	d	ART
s16	w156	Pflanze	Pflanze	Pflanze	NN
s16	w157	doch	doch	doch	ADV
s16	w158	muß	muß	müssen	VMFIN
s16	w159	,	,	,	$,
s16	w15a	um	um	um	KOUI
s16	w15b	zu	zu	zu	PTKZU
s16	w15c	wurzeln	wurzeln	wurzeln	VVINF
s16	w15d	,	,	,	$,
s16	w15e	Wurzel	Wurzel	Wurzel	NN
s16	w15f	schlagen	ſchlagen	schlagen	VVINF
s16	w160	.	.	.	$.

# text = 5.
s875	w9aff	5.	5.	5.	ADJA

# text = Kein Kampf und keine Noth , kein Leiden , keine Fahr , Die zu beſtehn du haſt , wird bleiben unfruchtbar ,
s17	w161	Kein	Kein	keine	PIAT
s17	w162	Kampf	Kampf	Kampf	NN
s17	w163	und	und	und	KON
s17	w164	keine	keine	keine	PIAT
s17	w165	Not	Noth	Not	NN
s17	w166	,	,	,	$,
s17	w167	kein	kein	keine	PIAT
s17	w168	Leiden	Leiden	Leiden	NN
s17	w169	,	,	,	$,
s17	w16a	keine	keine	keine	PIAT
s17	w16b	Fahre	Fahr	fahren	VVFIN
s17	w16c	,	,	,	$,
s17	w16d	Die	Die	d	ART
s17	w16e	zu	zu	zu	PTKZU
s17	w16f	bestehen	beſtehn	bestehen	VVINF
s17	w170	du	du	du	PPER
s17	w171	hast	haſt	haben	VAFIN
s17	w172	,	,	,	$,
s17	w173	wird	wird	werden	VAFIN
s17	w174	bleiben	bleiben	bleiben	VVFIN
s17	w175	unfruchtbar	unfruchtbar	unfruchtbar	ADJD
s17	w176	,	,	,	$,

# text = Wenn ſie dir andre Frucht und Ausbeut' auch nicht gaben , Als die Beruhigung , beſtanden ſie zu haben .
s18	w177	Wenn	Wenn	wenn	KOUS
s18	w178	sie	ſie	sie	PPER
s18	w179	dir	dir	du	PPER
s18	w17a	andere	andre	ander	ADJA
s18	w17b	Frucht	Frucht	Frucht	NN
s18	w17c	und	und	und	KON
s18	w17d	Ausbeute	Ausbeut'	Ausbeute	NN
s18	w17e	auch	auch	auch	ADV
s18	w17f	nicht	nicht	nicht	PTKNEG
s18	w180	gaben	gaben	geben	VVFIN
s18	w181	,	,	,	$,
s18	w182	Als	Als	als	KOUS
s18	w183	die	die	d	ART
s18	w184	Beruhigung	Beruhigung	Beruhigung	NN
s18	w185	,	,	,	$,
s18	w186	bestanden	beſtanden	bestehen	VVFIN
s18	w187	sie	ſie	sie	PPER
s18	w188	zu	zu	zu	PTKZU
s18	w189	haben	haben	haben	VAINF
s18	w18a	.	.	.	$.

# text = 6.
s876	w9b00	6.	6.	6.	ADJA

# text = Wenn du im Schmerz , den du empfindeſt , ſchon die Ruh Empfaͤndeſt die ihm folgt , nicht Schmerz empfaͤndeſt du .
s19	w18b	Wenn	Wenn	wenn	KOUS
s19	w18c	du	du	du	PPER
s19	w18d	im	im	im	APPRART
s19	w18e	Schmerz	Schmerz	Schmerz	NN
s19	w18f	,	,	,	$,
s19	w190	den	den	die	PRELS
s19	w191	du	du	du	PPER
s19	w192	empfindest	empfindeſt	empfinden	VVFIN
s19	w193	,	,	,	$,
s19	w194	schon	ſchon	schon	ADV
s19	w195	die	die	d	ART
s19	w196	Ruhe	Ruh	Ruhe	NN
s19	w197	Empfändest	Empfaͤndeſt	empfinden	VVFIN
s19	w198	die	die	d	ART
s19	w199	ihm	ihm	er	PPER
s19	w19a	folgt	folgt	folgen	VVFIN
s19	w19b	,	,	,	$,
s19	w19c	nicht	nicht	nicht	PTKNEG
s19	w19d	Schmerz	Schmerz	Schmerz	NN
s19	w19e	empfändest	empfaͤndeſt	empfinden	VVFIN
s19	w19f	du	du	du	PPER
s19	w1a0	.	.	.	$.

# text = Doch kannſt du nicht im Schmerz die Ruh ſchon mitempfinden ; Sonſt wuͤrde hier der Schmerz und dort die Ruhe ſchwinden .
s1a	w1a1	Doch	Doch	doch	KON
s1a	w1a2	kannst	kannſt	können	VMFIN
s1a	w1a3	du	du	du	PPER
s1a	w1a4	nicht	nicht	nicht	PTKNEG
s1a	w1a5	im	im	im	APPRART
s1a	w1a6	Schmerz	Schmerz	Schmerz	NN
s1a	w1a7	die	die	d	ART
s1a	w1a8	Ruhe	Ruh	Ruhe	NN
s1a	w1a9	schon	ſchon	schon	ADV
s1a	w1aa	mitempfinden	mitempfinden	mitempfinden	VVINF
s1a	w1ab	;	;	;	$.
s1a	w1ac	Sonst	Sonſt	sonst	ADV
s1a	w1ad	würde	wuͤrde	werden	VAFIN
s1a	w1ae	hier	hier	hier	ADV
s1a	w1af	der	der	d	ART
s1a	w1b0	Schmerz	Schmerz	Schmerz	NN
s1a	w1b1	und	und	und	KON
s1a	w1b2	dort	dort	dort	ADV
s1a	w1b3	die	die	d	ART
s1a	w1b4	Ruhe	Ruhe	Ruhe	NN
s1a	w1b5	schwinden	ſchwinden	schwinden	VVFIN
s1a	w1b6	.	.	.	$.

# text = 7.
s877	w9b01	7.	7.	7.	ADJA

# text = Am groͤßten iſt alsdann des Fleißigen Behagen , Wenn er des Tags zuvor hat doppelt eingetragen .
s1b	w1b7	Am	Am	am	APPRART
s1b	w1b8	größten	groͤßten	groß	ADJA
s1b	w1b9	ist	iſt	sein	VAFIN
s1b	w1ba	alsdann	alsdann	alsdann	ADV
s1b	w1bb	des	des	d	ART
s1b	w1bc	Fleißigen	Fleißigen	Fleißige	NN
s1b	w1bd	Behagen	Behagen	Behagen	NN
s1b	w1be	,	,	,	$,
s1b	w1bf	Wenn	Wenn	wenn	KOUS
s1b	w1c0	er	er	er	PPER
s1b	w1c1	des	des	d	ART
s1b	w1c2	Tags	Tags	Tag	NN
s1b	w1c3	zuvor	zuvor	zuvor	ADV
s1b	w1c4	hat	hat	haben	VAFIN
s1b	w1c5	doppelt	doppelt	doppelt	ADJD
s1b	w1c6	eingetragen	eingetragen	eintragen	VVPP
s1b	w1c7	.	.	.	$.

# text = Er freut ſich daß er heut nun duͤrfte muͤßig ſeyn , Und in der Freude traͤgt er wieder doppelt ein .
s1c	w1c8	Er	Er	er	PPER
s1c	w1c9	freut	freut	freuen	VVFIN
s1c	w1ca	sich	ſich	sich	PRF
s1c	w1cb	daß	daß	daß	KOUS
s1c	w1cc	er	er	er	PPER
s1c	w1cd	heute	heut	heute	ADV
s1c	w1ce	nun	nun	nun	ADV
s1c	w1cf	dürfte	duͤrfte	dürfen	VMFIN
s1c	w1d0	müßig	muͤßig	müßig	ADJD
s1c	w1d1	sein	ſeyn	sein	VAINF
s1c	w1d2	,	,	,	$,
s1c	w1d3	Und	Und	und	KON
s1c	w1d4	in	in	in	APPR
s1c	w1d5	der	der	d	ART
s1c	w1d6	Freude	Freude	Freude	NN
s1c	w1d7	trägt	traͤgt	tragen	VVFIN
s1c	w1d8	er	er	er	PPER
s1c	w1d9	wieder	wieder	wieder	ADV
s1c	w1da	doppelt	doppelt	doppelt	ADJD
s1c	w1db	ein	ein	ein	PTKVZ
s1c	w1dc	.	.	.	$.

# text = 8.
s878	w9b02	8.	8.	8.	ADJA

# text = Das Gaͤhnen , das , mein Sohn , beim Lernen dich beſchleicht , Ein Zeichen iſt es , daß Aufmerkſamkeit entweicht .
s1d	w1dd	Das	Das	d	ART
s1d	w1de	Gähnen	Gaͤhnen	Gähnen	NN
s1d	w1df	,	,	,	$,
s1d	w1e0	das	das	die	PRELS
s1d	w1e1	,	,	,	$,
s1d	w1e2	mein	mein	mein	PPOSAT
s1d	w1e3	Sohn	Sohn	Sohn	NN
s1d	w1e4	,	,	,	$,
s1d	w1e5	beim	beim	beim	APPRART
s1d	w1e6	Lernen	Lernen	Lernen	NN
s1d	w1e7	dich	dich	du	PPER
s1d	w1e8	beschleicht	beſchleicht	beschleichen	VVFIN
s1d	w1e9	,	,	,	$,
s1d	w1ea	Ein	Ein	eine	ART
s1d	w1eb	Zeichen	Zeichen	Zeichen	NN
s1d	w1ec	ist	iſt	sein	VAFIN
s1d	w1ed	es	es	es	PPER
s1d	w1ee	,	,	,	$,
s1d	w1ef	daß	daß	daß	KOUS
s1d	w1f0	Aufmerksamkeit	Aufmerkſamkeit	Aufmerksamkeit	NN
s1d	w1f1	entweicht	entweicht	entweichen	VVFIN
s1d	w1f2	.	.	.	$.

# text = Es zu verbeißen hilft auch gar nicht mit den Zaͤhnen , Wenn du nicht innerlich bezwingen kannſt das Gaͤhnen .
s1e	w1f3	Es	Es	es	PPER
s1e	w1f4	zu	zu	zu	PTKZU
s1e	w1f5	verbeißen	verbeißen	verbeissen	VVINF
s1e	w1f6	hilft	hilft	helfen	VVFIN
s1e	w1f7	auch	auch	auch	ADV
s1e	w1f8	gar	gar	gar	ADV
s1e	w1f9	nicht	nicht	nicht	PTKNEG
s1e	w1fa	mit	mit	mit	APPR
s1e	w1fb	den	den	d	ART
s1e	w1fc	Zähnen	Zaͤhnen	Zahn	NN
s1e	w1fd	,	,	,	$,
s1e	w1fe	Wenn	Wenn	wenn	KOUS
s1e	w1ff	du	du	du	PPER
s1e	w200	nicht	nicht	nicht	PTKNEG
s1e	w201	innerlich	innerlich	innerlich	ADJD
s1e	w202	bezwingen	bezwingen	bezwingen	VVINF
s1e	w203	kannst	kannſt	können	VMFIN
s1e	w204	das	das	d	ART
s1e	w205	Gähnen	Gaͤhnen	Gähnen	NN
s1e	w206	.	.	.	$.

# text = Bei aufgeſperrtem Mund iſt ſelbſt das Ohr geſchloſſen Das aͤußre , mehr noch iſt das innre dann verdroſſen .
s1f	w207	Bei	Bei	bei	APPR
s1f	w208	aufgesperrtem	aufgeſperrtem	aufgesperrt	ADJA
s1f	w209	Mund	Mund	Mund	NN
s1f	w20a	ist	iſt	sein	VAFIN
s1f	w20b	selbst	ſelbſt	selbst	ADV
s1f	w20c	das	das	d	ART
s1f	w20d	Ohr	Ohr	Ohr	NN
s1f	w20e	geschlossen	geſchloſſen	schließen	VVPP
s1f	w20f	Das	Das	die	PDS
s1f	w210	äußre	aͤußre	äußern	VVFIN
s1f	w211	,	,	,	$,
s1f	w212	mehr	mehr	mehr	ADV
s1f	w213	noch	noch	noch	ADV
s1f	w214	ist	iſt	sein	VAFIN
s1f	w215	das	das	d	ART
s1f	w216	innere	innre	inner	ADJA
s1f	w217	dann	dann	dann	ADV
s1f	w218	verdrossen	verdroſſen	verdrießen	VVPP
s1f	w219	.	.	.	$.

# text = Noch einmal denn verſuch ' in muthiger Ermannung , Ob du erhalten kannſt den Geiſt in rechter Spannung ;
s20	w21a	Noch	Noch	noch	ADV
s20	w21b	einmal	einmal	einmal	ADV
s20	w21c	denn	denn	denn	ADV
s20	w21d	versuche	verſuch	versuchen	VVFIN
s20	w21e	'	'	'	$(
s20	w21f	in	in	in	APPR
s20	w220	mutiger	muthiger	mutig	ADJA
s20	w221	Ermannung	Ermannung	Ermannung	NN
s20	w222	,	,	,	$,
s20	w223	Ob	Ob	ob	KOUS
s20	w224	du	du	du	PPER
s20	w225	erhalten	erhalten	erhalten	VVINF
