S_ID	T_ID	TOKENcorr	TOKENorig	LEMMA	POS
# text = Dem Herrn Baron von R —ſch — d in Paris , dem aͤchten Sohne Abrahams , Jſaaks und Jakobs , dem Beſchuͤtzer der Legitimitaͤt in Europa , dem Freunde aller illiberalen Kuͤnſte widmet zum Beweiſe ſeiner groͤßten Verehrung dies Buch der Verfaſſer .
s5	w3f	Dem	Dem	d	ART
s5	w40	Herrn	Herrn	Herr	NN
s5	w41	Baron	Baron	Baron	NN
s5	w42	von	von	von	APPR
s5	w43	R	R	R	NE
s5	w44	--sch	—ſch	--sch	TRUNC
s5	w45	--	—	--	$(
s5	w46	d	d	D	NN
s5	w47	in	in	in	APPR
s5	w48	Paris	Paris	Paris	NE
s5	w49	,	,	,	$,
s5	w4a	dem	dem	d	ART
s5	w4b	echten	aͤchten	echt	ADJA
s5	w4c	Sohne	Sohne	Sohn	NN
s5	w4d	Abrahams	Abrahams	Abrahams	NE
s5	w4e	,	,	,	$,
s5	w4f	Jsaaks	Jſaaks	Jsaaks	NE
s5	w50	und	und	und	KON
s5	w51	Jakobs	Jakobs	Jakobs	NE
s5	w52	,	,	,	$,
s5	w53	dem	dem	d	ART
s5	w54	Beschützer	Beſchuͤtzer	Beschützer	NN
s5	w55	der	der	d	ART
s5	w56	Legitimität	Legitimitaͤt	Legitimität	NN
s5	w57	in	in	in	APPR
s5	w58	Europa	Europa	Europa	NE
s5	w59	,	,	,	$,
s5	w5a	dem	dem	d	ART
s5	w5b	Freunde	Freunde	Freund	NN
s5	w5c	aller	aller	alle	PIAT
s5	w5d	illiberalen	illiberalen	inliberal	ADJA
s5	w5e	Künste	Kuͤnſte	Kunst	NN
s5	w5f	widmet	widmet	widmen	VVFIN
s5	w60	zum	zum	zum	APPRART
s5	w61	Beweise	Beweiſe	Beweis	NN
s5	w62	seiner	ſeiner	seine	PPOSAT
s5	w63	größten	groͤßten	groß	ADJA
s5	w64	Verehrung	Verehrung	Verehrung	NN
s5	w65	dies	dies	diese	PDS
s5	w66	Buch	Buch	Buch	NN
s5	w67	der	der	d	ART
s5	w68	Verfasser	Verfaſſer	Verfasser	NN
s5	w69	.	.	.	$.

# text = Hochwohlgeborner Herr Baron !
s6	w6a	Hochwohlgeborener	Hochwohlgeborner	hochwohlgeboren	ADJA
s6	w6b	Herr	Herr	Herr	NN
s6	w6c	Baron	Baron	Baron	NN
s6	w6d	!	!	!	$.

# text = Jndem ich Jhnen dieſe Judenſchule zueigne , ſollte ich beinahe fuͤrchten , es moͤchte mir eben ſo gehen , wie jenem engliſchen Geiſtlichen , der des Majeſtaͤtsverbrechens angeklagt ward , weil er ſeinem Koͤnige einen Katechismus fuͤr alle unwiſſende Leute ( for all ignorant people ) gewidmet hatte .
s7	w6e	Indem	Jndem	indem	KOUS
s7	w6f	ich	ich	ich	PPER
s7	w70	Ihnen	Jhnen	sie	PPER
s7	w71	diese	dieſe	diese	PDAT
s7	w72	Judenschule	Judenſchule	Judenschule	NN
s7	w73	zueigne	zueigne	zueignen	VVFIN
s7	w74	,	,	,	$,
s7	w75	sollte	ſollte	sollen	VMFIN
s7	w76	ich	ich	ich	PPER
s7	w77	beinahe	beinahe	beinahe	ADV
s7	w78	fürchten	fuͤrchten	fürchten	VVINF
s7	w79	,	,	,	$,
s7	w7a	es	es	es	PPER
s7	w7b	möchte	moͤchte	mögen	VMFIN
s7	w7c	mir	mir	ich	PPER
s7	w7d	eben	eben	eben	ADV
s7	w7e	so	ſo	so	ADV
s7	w7f	gehen	gehen	gehen	VVINF
s7	w80	,	,	,	$,
s7	w81	wie	wie	wie	PWAV
s7	w82	jenem	jenem	jen	PDAT
s7	w83	englischen	engliſchen	englisch	ADJA
s7	w84	Geistlichen	Geiſtlichen	Geistliche	NN
s7	w85	,	,	,	$,
s7	w86	der	der	die	PRELS
s7	w87	des	des	d	ART
s7	w88	Majestätsverbrechens	Majeſtaͤtsverbrechens	Majestätsverbrechen	NN
s7	w89	angeklagt	angeklagt	anklagen	VVPP
s7	w8a	wurde	ward	werden	VAFIN
s7	w8b	,	,	,	$,
s7	w8c	weil	weil	weil	KOUS
s7	w8d	er	er	er	PPER
s7	w8e	seinem	ſeinem	seine	PPOSAT
s7	w8f	Könige	Koͤnige	König	NN
s7	w90	einen	einen	eine	ART
s7	w91	Katechismus	Katechismus	Katechismus	NN
s7	w92	für	fuͤr	für	APPR
s7	w93	alle	alle	alle	PIAT
s7	w94	unwissende	unwiſſende	unwißend	ADJA
s7	w95	Leute	Leute	Leute	NN
s7	w96	(	(	(	$(
s7	w97	for	for	for	FM
s7	w98	all	all	all	FM
s7	w99	ignorant	ignorant	ignorant	FM
s7	w9a	pople	people	popeln	VVFIN
s7	w9b	)	)	)	$(
s7	w9c	gewidmet	gewidmet	widmen	VVPP
s7	w9d	hatte	hatte	haben	VAFIN
s7	w9e	.	.	.	$.

# text = Allein ich bin uͤberzeugt , daß Sie ſich nicht allein fuͤr den Reichſten , ſondern auch fuͤr den Kluͤgſten in Jſrael , ſowohl von der ſchwarzen als der weiſſen Linie halten , und daher mein Beginnen nicht mißdeuten werden .
s8	w9f	Allein	Allein	allein	ADV
s8	wa0	ich	ich	ich	PPER
s8	wa1	bin	bin	sein	VAFIN
s8	wa2	überzeugt	uͤberzeugt	überzeugen	VVPP
s8	wa3	,	,	,	$,
s8	wa4	daß	daß	daß	KOUS
s8	wa5	Sie	Sie	sie	PPER
s8	wa6	sich	ſich	sich	PRF
s8	wa7	nicht	nicht	nicht	PTKNEG
s8	wa8	allein	allein	allein	ADV
s8	wa9	für	fuͤr	für	APPR
s8	waa	den	den	d	ART
s8	wab	Reichsten	Reichſten	reich	ADJA
s8	wac	,	,	,	$,
s8	wad	sondern	ſondern	sondern	KON
s8	wae	auch	auch	auch	ADV
s8	waf	für	fuͤr	für	APPR
s8	wb0	den	den	d	ART
s8	wb1	Klügsten	Kluͤgſten	klug	ADJA
s8	wb2	in	in	in	APPR
s8	wb3	Israel	Jſrael	Israel	NE
s8	wb4	,	,	,	$,
s8	wb5	sowohl	ſowohl	sowohl	KON
s8	wb6	von	von	von	APPR
s8	wb7	der	der	d	ART
s8	wb8	schwarzen	ſchwarzen	schwarz	ADJA
s8	wb9	als	als	als	KOKOM
s8	wba	der	der	d	ART
s8	wbb	weißen	weiſſen	weiß	ADJA
s8	wbc	Linie	Linie	Linie	NN
s8	wbd	halten	halten	halten	VVINF
s8	wbe	,	,	,	$,
s8	wbf	und	und	und	KON
s8	wc0	daher	daher	daher	PAV
s8	wc1	mein	mein	mein	PPOSAT
s8	wc2	Beginnen	Beginnen	Beginn	NN
s8	wc3	nicht	nicht	nicht	PTKNEG
s8	wc4	mißdeuten	mißdeuten	missdeuten	VVINF
s8	wc5	werden	werden	werden	VAFIN
s8	wc6	.	.	.	$.

# text = Wenn ich einen recht reichen Mann ſehe , oder gar in ſein Haus trete , dann , Herr Baron , dann ergreift mich immer ſo etwas von heiliger Ehrfurcht , was ich Jhnen gar nicht zu ſchildern vermag .
s9	wc7	Wenn	Wenn	wenn	KOUS
s9	wc8	ich	ich	ich	PPER
s9	wc9	einen	einen	eine	ART
s9	wca	recht	recht	recht	ADJD
s9	wcb	reichen	reichen	reich	ADJA
s9	wcc	Mann	Mann	Mann	NN
s9	wcd	sehe	ſehe	sehen	VVFIN
s9	wce	,	,	,	$,
s9	wcf	oder	oder	oder	KON
s9	wd0	gar	gar	gar	ADV
s9	wd1	in	in	in	APPR
s9	wd2	sein	ſein	sein	PPOSAT
s9	wd3	Haus	Haus	Haus	NN
s9	wd4	trete	trete	treten	VVFIN
s9	wd5	,	,	,	$,
s9	wd6	dann	dann	dann	ADV
s9	wd7	,	,	,	$,
s9	wd8	Herr	Herr	Herr	NN
s9	wd9	Baron	Baron	Baron	NN
s9	wda	,	,	,	$,
s9	wdb	dann	dann	dann	ADV
s9	wdc	ergreift	ergreift	ergreifen	VVFIN
s9	wdd	mich	mich	ich	PPER
s9	wde	immer	immer	immer	ADV
s9	wdf	so	ſo	so	ADV
s9	we0	etwas	etwas	etwas	ADV
s9	we1	von	von	von	APPR
s9	we2	heiliger	heiliger	heilig	ADJA
s9	we3	Ehrfurcht	Ehrfurcht	Ehrfurcht	NN
s9	we4	,	,	,	$,
s9	we5	was	was	was	PRELS
s9	we6	ich	ich	ich	PPER
s9	we7	Ihnen	Jhnen	sie	PPER
s9	we8	gar	gar	gar	ADV
s9	we9	nicht	nicht	nicht	PTKNEG
s9	wea	zu	zu	zu	PTKZU
s9	web	schildern	ſchildern	schildern	VVINF
s9	wec	vermag	vermag	vermögen	VVFIN
s9	wed	.	.	.	$.

# text = Jch glaube , die Hohenprieſter des auserwaͤhlten Volks Gottes konnten mit keinem ehrerbietigern Schauer in das Allerheiligſte eingehen , als der , womit ich die Schwelle eines ſtein- und geldreichen Mannes uͤberſchreite , zumal wenn ich vernehme , daß er ein Geldwechsler und von Abrahams Saamen iſt .
sa	wee	Ich	Jch	ich	PPER
sa	wef	glaube	glaube	glauben	VVFIN
sa	wf0	,	,	,	$,
sa	wf1	die	die	d	ART
sa	wf2	Hohepriester	Hohenprieſter	Hohepriester	NN
sa	wf3	des	des	d	ART
sa	wf4	auserwählten	auserwaͤhlten	auserwählt	ADJA
sa	wf5	Volks	Volks	Volk	NN
sa	wf6	Gottes	Gottes	Gott	NN
sa	wf7	konnten	konnten	können	VMFIN
sa	wf8	mit	mit	mit	APPR
sa	wf9	keinem	keinem	keine	PIAT
sa	wfa	ehrerbietigeren	ehrerbietigern	ehrerbietig	ADJA
sa	wfb	Schauer	Schauer	Schauer	NN
sa	wfc	in	in	in	APPR
sa	wfd	das	das	d	ART
sa	wfe	Allerheiligste	Allerheiligſte	Allerheilig	NN
sa	wff	eingehen	eingehen	eingehen	VVINF
sa	w100	,	,	,	$,
sa	w101	als	als	als	KOUS
sa	w102	der	der	d	ART
sa	w103	,	,	,	$,
sa	w104	womit	womit	womit	PWAV
sa	w105	ich	ich	ich	PPER
sa	w106	die	die	d	ART
sa	w107	Schwelle	Schwelle	Schwelle	NN
sa	w108	eines	eines	eine	ART
sa	w109	stein-	ſtein-	stein-	TRUNC
sa	w10a	und	und	und	KON
sa	w10b	geldreichen	geldreichen	geldreich	ADJA
sa	w10c	Mannes	Mannes	Mann	NN
sa	w10d	überschreite	uͤberſchreite	überschreiten	VVFIN
sa	w10e	,	,	,	$,
sa	w10f	zumal	zumal	zumal	ADV
sa	w110	wenn	wenn	wenn	KOUS
sa	w111	ich	ich	ich	PPER
sa	w112	vernehme	vernehme	vernehmen	VVFIN
sa	w113	,	,	,	$,
sa	w114	daß	daß	daß	KOUS
sa	w115	er	er	er	PPER
sa	w116	ein	ein	eine	ART
sa	w117	Geldwechsler	Geldwechsler	Geldwechseler	NN
sa	w118	und	und	und	KON
sa	w119	von	von	von	APPR
sa	w11a	Abrahams	Abrahams	Abrahams	NE
sa	w11b	Samen	Saamen	Samen	NN
sa	w11c	ist	iſt	sein	VAFIN
sa	w11d	.	.	.	$.

# text = Selbſt Name und Klang von Gold und Silber uͤben eine magiſche Zauberkraft uͤber mich aus .
sb	w11e	Selbst	Selbſt	selbst	ADV
sb	w11f	Name	Name	Name	NN
sb	w120	und	und	und	KON
sb	w121	Klang	Klang	Klang	NN
sb	w122	von	von	von	APPR
sb	w123	Gold	Gold	Gold	NN
sb	w124	und	und	und	KON
sb	w125	Silber	Silber	Silber	NN
sb	w126	üben	uͤben	üben	VVFIN
sb	w127	eine	eine	eine	ART
sb	w128	magische	magiſche	magisch	ADJA
sb	w129	Zauberkraft	Zauberkraft	Zauberkraft	NN
sb	w12a	über	uͤber	über	APPR
sb	w12b	mich	mich	ich	PPER
sb	w12c	aus	aus	aus	PTKVZ
sb	w12d	.	.	.	$.

# text = Wenn ich von der Allmacht und Herrlichkeit Gottes hoͤre , welche aus den groͤßten Suͤndern Gerechte und Heilige machen kann , gleich faͤllt mir die Allmacht und Herrlichkeit des Goldes ein , die aus den froͤmmſten und gerechteſten Leuten die aͤrgſten Spitzbuben , aus den abgefeimteſten Schelmen ehrenwerthe Maͤnner , aus lumpigten wucheriſchen Juden Freiherren und Edle , und aus freien Voͤlkern Sklaven macht .
sc	w12e	Wenn	Wenn	wenn	KOUS
sc	w12f	ich	ich	ich	PPER
sc	w130	von	von	von	APPR
sc	w131	der	der	d	ART
sc	w132	Allmacht	Allmacht	Allmacht	NN
sc	w133	und	und	und	KON
sc	w134	Herrlichkeit	Herrlichkeit	Herrlichkeit	NN
sc	w135	Gottes	Gottes	Gott	NN
sc	w136	höre	hoͤre	hören	VVFIN
sc	w137	,	,	,	$,
sc	w138	welche	welche	welche	PRELS
sc	w139	aus	aus	aus	APPR
sc	w13a	den	den	d	ART
sc	w13b	größten	groͤßten	groß	ADJA
sc	w13c	Sündern	Suͤndern	Sünder	NN
sc	w13d	Gerechte	Gerechte	gerecht	ADJA
sc	w13e	und	und	und	KON
sc	w13f	Heilige	Heilige	heilig	ADJA
sc	w140	machen	machen	machen	VVINF
sc	w141	kann	kann	können	VMFIN
sc	w142	,	,	,	$,
sc	w143	gleich	gleich	gleich	ADV
sc	w144	fällt	faͤllt	fällen	VVFIN
sc	w145	mir	mir	ich	PPER
sc	w146	die	die	d	ART
sc	w147	Allmacht	Allmacht	Allmacht	NN
sc	w148	und	und	und	KON
sc	w149	Herrlichkeit	Herrlichkeit	Herrlichkeit	NN
sc	w14a	des	des	d	ART
sc	w14b	Goldes	Goldes	Gold	NN
sc	w14c	ein	ein	ein	PTKVZ
sc	w14d	,	,	,	$,
sc	w14e	die	die	die	PRELS
sc	w14f	aus	aus	aus	APPR
sc	w150	den	den	d	ART
sc	w151	frommsten	froͤmmſten	fromm	ADJA
sc	w152	und	und	und	KON
sc	w153	gerechtesten	gerechteſten	gerecht	ADJA
sc	w154	Leuten	Leuten	Leute	NN
sc	w155	die	die	d	ART
sc	w156	ärgsten	aͤrgſten	arg	ADJA
sc	w157	Spitzbuben	Spitzbuben	Spitzbube	NN
sc	w158	,	,	,	$,
sc	w159	aus	aus	aus	APPR
sc	w15a	den	den	d	ART
sc	w15b	abgefeimtesten	abgefeimteſten	abgefeimt	ADJA
sc	w15c	Schelmen	Schelmen	Schelm	NN
sc	w15d	ehrenwerte	ehrenwerthe	ehrenwert	ADJA
sc	w15e	Männer	Maͤnner	Mann	NN
sc	w15f	,	,	,	$,
sc	w160	aus	aus	aus	APPR
sc	w161	lumpigen	lumpigten	lumpig	ADJA
sc	w162	wucherischen	wucheriſchen	wucherisch	ADJA
sc	w163	Juden	Juden	Jude	NN
sc	w164	Freiherren	Freiherren	Freiherr	NN
sc	w165	und	und	und	KON
sc	w166	Edle	Edle	edel	ADJA
sc	w167	,	,	,	$,
sc	w168	und	und	und	KON
sc	w169	aus	aus	aus	APPR
sc	w16a	freien	freien	frei	ADJA
sc	w16b	Völkern	Voͤlkern	Volk	NN
sc	w16c	Sklaven	Sklaven	Sklave	NN
sc	w16d	macht	macht	machen	VVFIN
sc	w16e	.	.	.	$.

# text = Gott und Gold regieren die Welt ; der Name von beiden klingt in der Sprache zwei groſſer Nationen , der deutſchen und engliſchen , faſt gleich , und ich glaube , daß Gott oder God von Gold herſtammt .
sd	w16f	Gott	Gott	Gott	NN
sd	w170	und	und	und	KON
sd	w171	Gold	Gold	Gold	NN
sd	w172	regieren	regieren	regieren	VVFIN
sd	w173	die	die	d	ART
sd	w174	Welt	Welt	Welt	NN
sd	w175	;	;	;	$.
sd	w176	der	der	d	ART
sd	w177	Name	Name	Name	NN
sd	w178	von	von	von	APPR
sd	w179	beiden	beiden	beide	PIS
sd	w17a	klingt	klingt	klingen	VVFIN
sd	w17b	in	in	in	APPR
sd	w17c	der	der	d	ART
sd	w17d	Sprache	Sprache	Sprache	NN
sd	w17e	zwei	zwei	zwei	CARD
sd	w17f	großer	groſſer	groß	ADJA
sd	w180	Nationen	Nationen	Nation	NN
sd	w181	,	,	,	$,
sd	w182	der	der	d	ART
sd	w183	deutschen	deutſchen	deutsch	ADJA
sd	w184	und	und	und	KON
sd	w185	englischen	engliſchen	englisch	ADJA
sd	w186	,	,	,	$,
sd	w187	fast	faſt	fast	ADV
sd	w188	gleich	gleich	gleich	ADV
sd	w189	,	,	,	$,
sd	w18a	und	und	und	KON
sd	w18b	ich	ich	ich	PPER
sd	w18c	glaube	glaube	glauben	VVFIN
sd	w18d	,	,	,	$,
sd	w18e	daß	daß	daß	KOUS
sd	w18f	Gott	Gott	Gott	NN
sd	w190	oder	oder	oder	KON
sd	w191	God	God	god	FM
sd	w192	von	von	von	APPR
sd	w193	Gold	Gold	Gold	NN
sd	w194	herstammt	herſtammt	herstammen	VVFIN
sd	w195	.	.	.	$.

# text = Jhre auserwaͤhlten Ahnherren , Herr Baron , ſchienen gleicher Meinung zu ſeyn , da ihr frommer Prieſter Aaron ihnen einen Gott von Gold machen mußte , und von jeher hat — wie wir wiſſen — Abrahams Saame dem Golde goͤttliche Ehre erwieſen .
se	w196	Ihre	Jhre	ihr	PPOSAT
se	w197	auserwählten	auserwaͤhlten	auserwählt	ADJA
se	w198	Ahnherren	Ahnherren	Ahnherr	NN
se	w199	,	,	,	$,
se	w19a	Herr	Herr	Herr	NN
se	w19b	Baron	Baron	Baron	NN
se	w19c	,	,	,	$,
se	w19d	schienen	ſchienen	schienen	VVFIN
se	w19e	gleicher	gleicher	gleich	ADJA
se	w19f	Meinung	Meinung	Meinung	NN
se	w1a0	zu	zu	zu	PTKZU
se	w1a1	sein	ſeyn	sein	VAINF
se	w1a2	,	,	,	$,
se	w1a3	da	da	da	KOUS
se	w1a4	ihr	ihr	ihr	PPOSAT
se	w1a5	frommer	frommer	fromm	ADJA
se	w1a6	Priester	Prieſter	Priester	NN
se	w1a7	Aaron	Aaron	Aaron	NE
se	w1a8	ihnen	ihnen	sie	PPER
se	w1a9	einen	einen	eine	ART
se	w1aa	Gott	Gott	Gott	NN
se	w1ab	von	von	von	APPR
se	w1ac	Gold	Gold	Gold	NN
se	w1ad	machen	machen	machen	VVINF
se	w1ae	mußte	mußte	müssen	VMFIN
se	w1af	,	,	,	$,
se	w1b0	und	und	und	KON
se	w1b1	von	von	von	APPR
se	w1b2	jeher	jeher	jeher	ADV
se	w1b3	hat	hat	haben	VAFIN
se	w1b4	--	—	--	$(
se	w1b5	wie	wie	wie	PWAV
se	w1b6	wir	wir	wir	PPER
se	w1b7	wissen	wiſſen	wissen	VVFIN
se	w1b8	--	—	--	$(
se	w1b9	Abrahams	Abrahams	Abrahams	NE
se	w1ba	Same	Saame	Same	NN
se	w1bb	dem	dem	d	ART
se	w1bc	Golde	Golde	Gold	NN
se	w1bd	göttliche	goͤttliche	göttlich	ADJA
se	w1be	Ehre	Ehre	Ehre	NN
se	w1bf	erwiesen	erwieſen	erweisen	VVPP
se	w1c0	.	.	.	$.

# text = Jch ſagte vorhin :
sf	w1c1	Ich	Jch	ich	PPER
sf	w1c2	sagte	ſagte	sagen	VVFIN
sf	w1c3	vorhin	vorhin	vorhin	ADV
sf	w1c4	:	:	:	$.

# text = Gold und Silber uͤbten eine wahre Zauberkraft uͤber mich aus .
s10	w1c5	Gold	Gold	Gold	NN
s10	w1c6	und	und	und	KON
s10	w1c7	Silber	Silber	Silber	NN
s10	w1c8	übten	uͤbten	üben	VVFIN
s10	w1c9	eine	eine	eine	ART
s10	w1ca	wahre	wahre	wahr	ADJA
s10	w1cb	Zauberkraft	Zauberkraft	Zauberkraft	NN
s10	w1cc	über	uͤber	über	APPR
s10	w1cd	mich	mich	ich	PPER
s10	w1ce	aus	aus	aus	PTKVZ
s10	w1cf	.	.	.	$.

# text = Sehe ich zum Beiſpiel einen ſchmutzigen Band- oder Troͤdeljuden vor mir , dann ruͤhre ich meinen Hut nicht an , ſo wie Sie auch den Jhrigen nicht ruͤcken , wenn Sie einem ſelbſt wohlgekleideten Goi begegnen , | der kein Ordensband traͤgt , oder dem Sie es anſehen , daß er bei Jhnen keine Anleihe oder kein Wechſelgeſchaͤftchen machen wird und kann .
s11	w1d0	Sehe	Sehe	sehen	VVFIN
s11	w1d1	ich	ich	ich	PPER
s11	w1d2	zum	zum	zum	APPRART
s11	w1d3	Beispiel	Beiſpiel	Beispiel	NN
s11	w1d4	einen	einen	eine	ART
s11	w1d5	schmutzigen	ſchmutzigen	schmutzig	ADJA
s11	w1d6	Band-	Band-	band-	TRUNC
s11	w1d7	oder	oder	oder	KON
s11	w1d8	Trödeljuden	Troͤdeljuden	Trödeljude	NN
s11	w1d9	vor	vor	vor	APPR
s11	w1da	mir	mir	ich	PPER
s11	w1db	,	,	,	$,
s11	w1dc	dann	dann	dann	ADV
s11	w1dd	rühre	ruͤhre	rühren	VVFIN
s11	w1de	ich	ich	ich	PPER
s11	w1df	meinen	meinen	meine	PPOSAT
s11	w1e0	Hut	Hut	Hut	NN
s11	w1e1	nicht	nicht	nicht	PTKNEG
s11	w1e2	an	an	an	PTKVZ
s11	w1e3	,	,	,	$,
s11	w1e4	so	ſo	so	ADV
s11	w1e5	wie	wie	wie	KOKOM
s11	w1e6	Sie	Sie	sie	PPER
s11	w1e7	auch	auch	auch	ADV
s11	w1e8	den	den	d	ART
s11	w1e9	Ihrigen	Jhrigen	ihrige	PPOSS
s11	w1ea	nicht	nicht	nicht	PTKNEG
s11	w1eb	rücken	ruͤcken	rücken	VVINF
s11	w1ec	,	,	,	$,
s11	w1ed	wenn	wenn	wenn	KOUS
s11	w1ee	Sie	Sie	sie	PPER
s11	w1ef	einem	einem	eine	ART
s11	w1f0	selbst	ſelbſt	selbst	ADV
s11	w1f1	wohlgekleideten	wohlgekleideten	wohlgekleidet	ADJA
s11	w1f2	Goi	Goi	Goi	NN
s11	w1f3	begegnen	begegnen	begegnen	VVINF
s11	w1f4	,	,	,	$,
s11	w1f5	|	|	|	$(
s11	w1f6	der	der	d	ART
s11	w1f7	kein	kein	keine	PIAT
s11	w1f8	Ordensband	Ordensband	Ordensband	NN
s11	w1f9	trägt	traͤgt	tragen	VVFIN
s11	w1fa	,	,	,	$,
s11	w1fb	oder	oder	oder	KON
s11	w1fc	dem	dem	die	PRELS
s11	w1fd	Sie	Sie	sie	PPER
s11	w1fe	es	es	es	PPER
s11	w1ff	ansehen	anſehen	ansehen	VVINF
s11	w200	,	,	,	$,
s11	w201	daß	daß	daß	KOUS
s11	w202	er	er	er	PPER
s11	w203	bei	bei	bei	APPR
s11	w204	Ihnen	Jhnen	sie	PPER
s11	w205	keine	keine	keine	PIAT
s11	w206	Anleihe	Anleihe	Anleihe	NN
s11	w207	oder	oder	oder	KON
s11	w208	kein	kein	keine	PIAT
s11	w209	Wechselgeschäftchen	Wechſelgeſchaͤftchen	Wechselgeschäftchen	NN
s11	w20a	machen	machen	machen	VVINF
s11	w20b	wird	wird	werden	VAFIN
s11	w20c	und	und	und	KON
s11	w20d	kann	kann	können	VMFIN
s11	w20e	.	.	.	$.

# text = Greift aber ein ſolcher knoblauchduftender Sohn Abrahams in ſeine Weſten- oder Hoſentaſche und laͤßt mich einen recht hellen Silberton vernehmen , gleich ſpitze ich , wie Sie und Jhre Herren Vettern , meine Ohren , und ruͤcke freundlich nickend meinen Hut .
s12	w20f	Greift	Greift	greifen	VVFIN
s12	w210	aber	aber	aber	ADV
s12	w211	ein	ein	eine	ART
s12	w212	solcher	ſolcher	solch	PIAT
s12	w213	knoblauchduftender	knoblauchduftender	knoblauchduftend	ADJA
s12	w214	Sohn	Sohn	Sohn	NN
s12	w215	Abrahams	Abrahams	Abrahams	NE
s12	w216	in	in	in	APPR
s12	w217	seine	ſeine	seine	PPOSAT
s12	w218	Westen-	Weſten-	westen-	TRUNC
s12	w219	oder	oder	oder	KON
s12	w21a	Hosentasche	Hoſentaſche	Hosentasche	NN
s12	w21b	und	und	und	KON
s12	w21c	läßt	laͤßt	lassen	VVFIN
s12	w21d	mich	mich	mich	PRF
s12	w21e	einen	einen	eine	ART
s12	w21f	recht	recht	recht	ADJD
s12	w220	hellen	hellen	hell	ADJA
s12	w221	Silberton	Silberton	Silberton	NN
s12	w222	vernehmen	vernehmen	vernehmen	VVINF
s12	w223	,	,	,	$,
s12	w224	gleich	gleich	gleich	ADV
s12	w225	spitze	ſpitze	spitzen	VVFIN
s12	w226	ich	ich	ich	PPER
s12	w227	,	,	,	$,
s12	w228	wie	wie	wie	PWAV
s12	w229	Sie	Sie	sie	PPER
s12	w22a	und	und	und	KON
s12	w22b	Ihre	Jhre	ihr	PPOSAT
s12	w22c	Herren	Herren	Herr	NN
